Removed Pin From Net: NetName=VSYS Pin=C54-1
Removed Pin From Net: NetName=GND Pin=C54-2
Removed Pin From Net: NetName=GND Pin=C55-1
Removed Pin From Net: NetName=VSYS Pin=C55-2
Removed Pin From Net: NetName=GND Pin=C56-1
Removed Pin From Net: NetName=+3V3 Pin=C57-1
Removed Pin From Net: NetName=GND Pin=C57-2
Removed Pin From Net: NetName=GND Pin=D10-1
Removed Pin From Net: NetName=+3V3 Pin=L3-2
Removed Pin From Net: NetName=GND Pin=R84-1
Removed Pin From Net: NetName=+3V3 Pin=R85-2
Removed Pin From Net: NetName=GND Pin=U16-1
Removed Pin From Net: NetName=+3V3 Pin=U16-3
Removed Pin From Net: NetName=GND Pin=U16-4
Removed Pin From Net: NetName=VSYS Pin=U16-7
Removed Pin From Net: NetName=VSYS Pin=U16-8
Removed Pin From Net: NetName=GND Pin=U16-11
Removed Member From Class: ClassName=+3V3_PS Member=C54
Removed Member From Class: ClassName=+3V3_PS Member=C55
Removed Member From Class: ClassName=+3V3_PS Member=C56
Removed Member From Class: ClassName=+3V3_PS Member=C57
Removed Member From Class: ClassName=+3V3_PS Member=D10
Removed Member From Class: ClassName=+3V3_PS Member=L3
Removed Member From Class: ClassName=+3V3_PS Member=R84
Removed Member From Class: ClassName=+3V3_PS Member=R85
Removed Member From Class: ClassName=+3V3_PS Member=U16
Change Component Designator: OldDesignator=C58 NewDesignator=C54
Change Component Designator: OldDesignator=C59 NewDesignator=C55
Change Component Designator: OldDesignator=C60 NewDesignator=C56
Change Component Designator: OldDesignator=C61 NewDesignator=C57
Change Component Designator: OldDesignator=C62 NewDesignator=C58
Change Component Designator: OldDesignator=C63 NewDesignator=C59
Change Component Designator: OldDesignator=C64 NewDesignator=C60
Change Component Designator: OldDesignator=C65 NewDesignator=C61
Change Component Designator: OldDesignator=C66 NewDesignator=C62
Change Component Designator: OldDesignator=C67 NewDesignator=C63
Change Component Designator: OldDesignator=C68 NewDesignator=C64
Change Component Designator: OldDesignator=C69 NewDesignator=C65
Change Component Designator: OldDesignator=C70 NewDesignator=C66
Change Component Designator: OldDesignator=C71 NewDesignator=C67
Change Component Designator: OldDesignator=C72 NewDesignator=C68
Change Component Designator: OldDesignator=C73 NewDesignator=C69
Change Component Designator: OldDesignator=C74 NewDesignator=C70
Change Component Designator: OldDesignator=C75 NewDesignator=C71
Change Component Designator: OldDesignator=C76 NewDesignator=C72
Change Component Designator: OldDesignator=C77 NewDesignator=C73
Change Component Designator: OldDesignator=C78 NewDesignator=C74
Change Component Designator: OldDesignator=C79 NewDesignator=C75
Change Component Designator: OldDesignator=C80 NewDesignator=C76
Change Component Designator: OldDesignator=C81 NewDesignator=C77
Change Component Designator: OldDesignator=C82 NewDesignator=C78
Change Component Designator: OldDesignator=C83 NewDesignator=C79
Change Component Designator: OldDesignator=C84 NewDesignator=C80
Change Component Designator: OldDesignator=C85 NewDesignator=C81
Change Component Designator: OldDesignator=C86 NewDesignator=C82
Change Component Designator: OldDesignator=C87 NewDesignator=C83
Change Component Designator: OldDesignator=C88 NewDesignator=C84
Change Component Designator: OldDesignator=C89 NewDesignator=C85
Change Component Designator: OldDesignator=C90 NewDesignator=C86
Change Component Designator: OldDesignator=C91 NewDesignator=C87
Change Component Designator: OldDesignator=C92 NewDesignator=C88
Change Component Designator: OldDesignator=C93 NewDesignator=C89
